                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.236,                 1.3672,                 1.1825,                0.13839,                0.84405,                0.13272,                0.08814,                 1.1547,                    inf,                 1.2182,             0.00055158,             0.00055158,             0.00055158
                      2,                 1.2802,                 1.5697,                 1.2298,                0.38931,                0.62463,                0.36575,                0.23644,                  1.296,                    inf,                 1.3676,              0.0011062,              0.0011062,              0.0011062
                      3,                 1.3901,                 1.3955,                 1.2881,                0.51985,                0.63572,                0.65501,                0.42716,                  1.253,                 1.9198,                 1.3138,              0.0016596,              0.0016596,              0.0016596
                      4,                 1.2841,                 1.2992,                  1.228,                0.47955,                0.69114,                0.69787,                0.47003,                 1.1268,                 1.5791,                 1.2262,               0.001662,               0.001662,               0.001662
                      5,                   1.32,                 1.2282,                 1.2483,                0.70012,                0.69044,                0.72944,                0.48417,                 1.1798,                 1.1032,                  1.238,               0.001662,               0.001662,               0.001662
                      6,                 1.2684,                  1.058,                 1.2027,                0.74366,                 0.7301,                0.75655,                0.51138,                 1.1471,                0.97067,                  1.225,              0.0016604,              0.0016604,              0.0016604
                      7,                 1.3102,                 1.0458,                 1.2143,                0.70549,                0.71198,                0.74966,                0.48953,                 1.2157,                  1.006,                 1.2639,              0.0016587,              0.0016587,              0.0016587
                      8,                 1.3106,                 1.0102,                 1.2619,                0.73068,                0.71842,                0.73354,                0.50149,                 1.1435,                 1.1936,                 1.2364,              0.0016571,              0.0016571,              0.0016571
                      9,                 1.2126,                0.97433,                 1.1707,                0.77072,                0.76818,                0.80954,                0.54654,                 1.1197,                0.84728,                 1.1827,              0.0016554,              0.0016554,              0.0016554
                     10,                  1.211,                0.89558,                 1.1756,                0.80606,                0.74393,                0.80566,                 0.5509,                 1.0988,                0.78104,                 1.1701,              0.0016538,              0.0016538,              0.0016538
