                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66378,                 1.1189,                 1.7416,                 1.0334,                0.58708,                0.72874,                0.64949,                0.53304,                0.58019,                0.68866,                0.61428,                 0.3546,                0.54265,                0.72372,                 1.1494,                0.99357,              0.0033263,              0.0033263,              0.0033263
                      2,                0.59709,                0.75194,                 1.1231,                0.97566,                0.70373,                0.66738,                0.72001,                0.59234,                0.69246,                0.64952,                 0.6931,                0.43123,                0.59199,                0.68043,                  1.044,                 1.0104,               0.006653,               0.006653,               0.006653
                      3,                0.67239,                0.77848,                 1.1913,                0.98947,                0.65188,                0.73411,                 0.7087,                0.55821,                0.64532,                0.71482,                0.68162,                0.38224,                0.64584,                 0.7381,                 1.0373,                 1.0273,              0.0099732,              0.0099732,              0.0099732
                      4,                0.74729,                0.83197,                 1.0199,                 1.0213,                0.65254,                0.75127,                0.74313,                0.56445,                0.64113,                0.71859,                0.71146,                0.42137,                0.75275,                0.75089,                0.93414,                 1.0827,              0.0099703,              0.0099703,              0.0099703
                      5,                0.76166,                0.81713,                0.99073,                 1.0403,                0.65328,                0.71723,                0.73627,                0.55507,                0.64762,                0.70876,                0.71018,                0.40584,                0.75117,                0.77526,                 0.9747,                 1.1077,              0.0099703,              0.0099703,              0.0099703
                      6,                0.77047,                0.81009,                0.97509,                 1.0361,                 0.6703,                0.74356,                0.77926,                0.61381,                0.65248,                0.71916,                0.74212,                0.44861,                0.72567,                0.77065,                0.89057,                 1.0774,              0.0099604,              0.0099604,              0.0099604
                      7,                0.77834,                0.82889,                 0.9236,                 1.0455,                0.69328,                 0.7423,                0.78089,                0.60203,                0.68488,                0.72511,                0.75451,                0.44127,                0.77206,                0.74233,                0.89423,                 1.1021,              0.0099505,              0.0099505,              0.0099505
                      8,                0.79579,                0.82234,                0.89886,                 1.0628,                0.73935,                0.69941,                0.76439,                0.59822,                0.73397,                0.69044,                0.74556,                0.44642,                0.73325,                0.73745,                0.92086,                 1.0908,              0.0099406,              0.0099406,              0.0099406
                      9,                0.78406,                0.80509,                0.93682,                 1.0541,                0.65671,                0.70319,                0.73664,                0.56351,                0.64814,                0.69587,                0.72237,                0.41488,                0.73198,                0.75256,                0.99545,                 1.1064,              0.0099307,              0.0099307,              0.0099307
                     10,                0.75412,                 0.8058,                0.89589,                 1.0436,                0.72502,                0.75229,                0.78411,                0.61339,                0.70848,                0.73318,                0.75712,                0.46096,                0.71271,                 0.6998,                0.87523,                 1.0798,              0.0099208,              0.0099208,              0.0099208
                     11,                0.76522,                0.83597,                0.91235,                 1.0593,                0.73261,                0.69611,                0.76121,                0.59767,                0.72039,                0.68248,                0.73259,                0.44066,                0.72137,                0.73673,                0.91036,                 1.0888,              0.0099109,              0.0099109,              0.0099109
                     12,                0.75452,                0.80117,                0.89428,                 1.0353,                0.75448,                0.68921,                0.78292,                0.60489,                0.73431,                 0.6879,                0.75994,                0.46246,                0.74242,                0.72105,                0.91422,                 1.1145,               0.009901,               0.009901,               0.009901
                     13,                0.74576,                0.79266,                0.82852,                 1.0436,                0.70118,                0.73068,                0.76702,                0.59063,                0.68663,                0.71405,                0.73565,                0.44743,                 0.7213,                0.69933,                  0.913,                 1.0925,              0.0098911,              0.0098911,              0.0098911
                     14,                0.73417,                0.77713,                0.81863,                  1.039,                0.70711,                0.75184,                0.80032,                0.62739,                  0.699,                0.72059,                0.76593,                 0.4559,                0.72825,                0.76663,                0.90343,                 1.0797,              0.0098812,              0.0098812,              0.0098812
                     15,                0.74253,                0.78615,                0.80415,                 1.0459,                0.76996,                0.74948,                0.80088,                0.62257,                0.75303,                0.72897,                0.76633,                0.42928,                0.73571,                0.78958,                0.88263,                 1.1008,              0.0098713,              0.0098713,              0.0098713
                     16,                0.72145,                0.74733,                0.81457,                 1.0289,                0.73292,                0.75975,                0.80146,                0.62866,                0.70764,                0.72915,                0.75596,                0.44206,                 0.7253,                0.84634,                0.89752,                 1.0934,              0.0098614,              0.0098614,              0.0098614
                     17,                  0.713,                0.75779,                0.78405,                 1.0184,                0.67686,                0.68031,                0.71745,                0.56088,                0.67778,                0.63952,                0.68331,                0.40286,                 0.7776,                 1.0641,                 1.0201,                 1.1587,              0.0098515,              0.0098515,              0.0098515
                     18,                0.71937,                0.76845,                0.80791,                 1.0295,                0.73023,                0.72881,                0.77521,                0.61162,                0.71982,                 0.7136,                0.75327,                0.45091,                0.69306,                0.67578,                0.88773,                 1.0719,              0.0098416,              0.0098416,              0.0098416
                     19,                0.70327,                0.75179,                0.77872,                 1.0228,                0.72724,                0.77432,                0.81653,                0.65071,                0.72335,                  0.747,                0.78207,                0.48983,                0.68569,                0.72265,                 0.8121,                 1.0612,              0.0098317,              0.0098317,              0.0098317
                     20,                0.71675,                0.76477,                0.81487,                 1.0339,                0.76328,                 0.7349,                0.82531,                0.66029,                0.75043,                0.72166,                0.79931,                 0.5003,                0.66685,                0.67661,                0.78102,                 1.0654,              0.0098218,              0.0098218,              0.0098218
                     21,                 0.6909,                0.76432,                0.76915,                  1.019,                0.76448,                0.79482,                0.83198,                0.66269,                0.75302,                0.78144,                0.81314,                0.50953,                0.68244,                 0.6674,                 0.7918,                 1.0669,              0.0098119,              0.0098119,              0.0098119
                     22,                0.69413,                0.77046,                0.73344,                 1.0239,                0.74015,                0.74419,                0.79373,                 0.6353,                0.72911,                0.73089,                0.77116,                0.48736,                0.68394,                0.68616,                0.83626,                 1.0762,               0.009802,               0.009802,               0.009802
                     23,                0.68521,                0.73568,                0.74818,                 1.0073,                0.77125,                0.77907,                0.83032,                0.66114,                0.76595,                0.76244,                0.80517,                0.49445,                0.66155,                0.67328,                0.77682,                 1.0721,              0.0097921,              0.0097921,              0.0097921
                     24,                0.70148,                 0.7568,                0.73549,                 1.0169,                0.77993,                0.76476,                0.84253,                 0.6842,                0.79919,                0.73215,                0.82806,                0.52659,                0.68391,                0.67323,                0.77157,                 1.0763,              0.0097822,              0.0097822,              0.0097822
                     25,                0.68555,                0.72588,                0.74788,                 1.0163,                0.75874,                0.77594,                0.81245,                0.64461,                0.74643,                 0.7636,                0.79119,                0.48483,                0.69443,                0.70086,                0.82762,                 1.0775,              0.0097723,              0.0097723,              0.0097723
                     26,                0.68979,                0.74395,                0.73763,                 1.0201,                0.74248,                0.78043,                 0.8229,                0.65494,                0.74005,                0.76524,                0.80192,                0.49006,                 0.6941,                0.70312,                0.81647,                 1.0714,              0.0097624,              0.0097624,              0.0097624
                     27,                0.68587,                 0.7413,                0.70548,                 1.0067,                0.75583,                0.79944,                0.83245,                0.67329,                0.75103,                0.77986,                0.81404,                0.51099,                0.64675,                0.64688,                0.70612,                 1.0619,              0.0097525,              0.0097525,              0.0097525
